,Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,year_only,number_of_days
130,Numerous Wildfires (2006),Wildfire,2006-01-01,2006-12-31,2273.8,28,2006,364
131,California Freeze (January 2007),Freeze,2007-01-11,2007-01-17,2128.0,1,2007,6
132,Spring Freeze (April 2007),Freeze,2007-04-04,2007-04-10,3107.0,0,2007,6
133,East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,2007-04-17,3736.7,9,2007,4
134,Western Wildfires (Summer 2007),Wildfire,2007-06-01,2007-08-31,4029.7,12,2007,91
135,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,2007-11-30,5378.0,15,2007,182
136,"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008-01-04,2008-01-09,1424.2,12,2008,5
137,Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,2008-02-06,1756.9,57,2008,1
138,Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,2008-03-15,1628.6,5,2008,1
139,Southern Severe Weather (April 2008),Severe Storm,2008-04-09,2008-04-11,1486.7,2,2008,2
140,Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,2008-05-27,4301.9,13,2008,5
141,Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,2008-06-12,2290.3,18,2008,6
142,Midwest Flooding (Summer 2008),Flooding,2008-04-01,2008-06-30,14439.8,24,2008,90
143,Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,2008-07-25,1774.2,3,2008,2
144,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,2008-09-03,8395.8,53,2008,3
145,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,2008-09-14,41998.3,112,2008,2
146,U.S. Wildfires (Fall 2008),Wildfire,2008-09-01,2008-11-30,1727.7,16,2008,90
147,U.S. Drought (2008),Drought,2008-01-01,2008-12-31,10164.6,0,2008,365
148,Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,2009-02-11,2523.4,10,2009,1
149,Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,2009-03-28,2362.3,0,2009,3
150,South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,2059.3,6,2009,1
151,Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,2009-05-09,1239.8,7,2009,2
152,"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-09,2009-06-12,1885.8,0,2009,3
153,Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,2009-07-20,1430.0,0,2009,0
154,Georgia Flooding (September 2009),Flooding,2009-09-19,2009-09-22,1275.9,10,2009,3
155,Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,2009-11-30,1436.8,10,2009,182
156,Southwest/Great Plains Drought (2009),Drought,2009-01-01,2009-12-31,5063.4,0,2009,364
157,Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,2010-02-11,1160.2,3,2010,2
158,Northeast Flooding (March 2010),Flooding,2010-03-01,2010-03-31,2618.9,11,2010,30
159,East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,2010-05-02,3218.0,32,2010,2
160,"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-10,2010-05-12,4700.7,3,2010,2
161,Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,2010-06-15,1270.5,2,2010,5
162,Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,2010-07-23,1337.2,0,2010,3
163,Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,2010-10-06,5320.0,0,2010,1
164,Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2011-02-03,2493.9,36,2011,2
165,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,2011-04-05,3802.1,9,2011,1
166,Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,2011-04-11,2985.6,0,2011,3
167,Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2011-04-16,2821.1,38,2011,2
168,Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,2011-04-20,1421.4,0,2011,1
169,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,2011-04-28,14004.1,321,2011,3
170,Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,2011-05-27,12371.7,177,2011,5
171,Mississippi River flooding (April-May 2011),Flooding,2011-04-01,2011-05-31,4150.5,7,2011,60
172,Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2011-06-22,2090.6,3,2011,4
173,Missouri River flooding (May-June 2011),Flooding,2011-05-01,2011-06-30,2783.3,5,2011,60
174,"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,2011-07-01,1207.7,0,2011,0
175,"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-10,2011-07-11,1679.6,2,2011,1
176,"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-17,2011-08-18,1566.0,0,2011,1
177,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,18351.9,45,2011,2
178,Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,2011-08-31,16631.1,95,2011,183
179,Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,3392.1,21,2011,4
180,Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,2011-10-30,1258.1,1,2011,1
181,"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-06-01,2011-11-30,2476.2,5,2011,182
182,Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,2012-03-03,4192.7,42,2012,1
183,Texas Tornadoes (April 2012),Severe Storm,2012-04-02,2012-04-03,1350.3,0,2012,1
184,Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,2012-04-14,1494.4,6,2012,1
185,Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,2012-05-01,4357.4,1,2012,3
186,Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,2012-05-30,3087.0,1,2012,5
187,Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,2012-06-12,3481.0,0,2012,6
